name,authors,page,license
"Construct&#39;s Armory","theillusivec4","https://minecraft.curseforge.com/projects/287683","https://minecraft.curseforge.com/projects/2586478/license"
"Controlling","jaredlll08","https://minecraft.curseforge.com/projects/250398","https://minecraft.curseforge.com/projects/2522248/license"
"CookieCore","EphysPotato","https://minecraft.curseforge.com/projects/222908","https://minecraft.curseforge.com/projects/2525823/license"
"Cooking for Blockheads","BlayTheNinth","https://minecraft.curseforge.com/projects/231484","https://minecraft.curseforge.com/projects/2593109/license"
"Corpse Complex","theillusivec4","https://minecraft.curseforge.com/projects/271605","https://minecraft.curseforge.com/projects/2560155/license"
"Correlated","unknown","unknown","unknown"
"Cosmetic Armor Reworked","ZLainSama","https://minecraft.curseforge.com/projects/237307","https://minecraft.curseforge.com/projects/2595679/license"
"CraftTweaker","jaredlll08","https://minecraft.curseforge.com/projects/239197","https://minecraft.curseforge.com/projects/2576160/license"
"Crafting Tweaks","BlayTheNinth","https://minecraft.curseforge.com/projects/233071","https://minecraft.curseforge.com/projects/2562139/license"
"Custom Main Menu","lumien231","https://minecraft.curseforge.com/projects/226406","https://minecraft.curseforge.com/projects/2482584/license"
"Cyclops Core","kroeser","https://minecraft.curseforge.com/projects/232758","https://minecraft.curseforge.com/projects/2583208/license"
"Default Options","BlayTheNinth","https://minecraft.curseforge.com/projects/232131","https://minecraft.curseforge.com/projects/2549234/license"
"Diamond Glass","kreezxil","https://minecraft.curseforge.com/projects/270959","https://minecraft.curseforge.com/projects/2577155/license"
"DimensionalDoors","DimensionalDevelopment, Waterpicker, Robijnvogel, ZombieHDGaming, Runemoro","https://minecraft.curseforge.com/projects/284876","https://minecraft.curseforge.com/projects/2558528/license"
"Durability Show","61352151511","https://minecraft.curseforge.com/projects/226099","https://minecraft.curseforge.com/projects/2432683/license"
"Dynamic Surroundings","OreCruncher","https://minecraft.curseforge.com/projects/238891","https://minecraft.curseforge.com/projects/2571988/license"
"Electroblob&#39;s Wizardry","electroblob","https://minecraft.curseforge.com/projects/265642","https://minecraft.curseforge.com/projects/2569737/license"
"Embers","epicsquid319","https://minecraft.curseforge.com/projects/251918","https://minecraft.curseforge.com/projects/2495586/license"
"Ender IO","CrazyPants_MC, epicsquid319, tterrag1098, MatthiasMann, Henry_Loenwind","https://minecraft.curseforge.com/projects/64578","https://minecraft.curseforge.com/projects/2597800/license"
"Ender Storage 1.8.+","covers1624, chicken_bones","https://minecraft.curseforge.com/projects/245174","https://minecraft.curseforge.com/projects/2594243/license"
"EnderCore","tterrag1098, Henry_Loenwind, CrazyPants_MC","https://minecraft.curseforge.com/projects/231868","https://minecraft.curseforge.com/projects/2596969/license"
"Engination","elytra","https://ci.elytradev.com/job/elytra/job/Engination/job/master","unknown"
"Exchangers","Jacky1356400, turkey2349","https://minecraft.curseforge.com/projects/270183","https://minecraft.curseforge.com/projects/2579652/license"
"Extra Alchemy","zabi94","https://minecraft.curseforge.com/projects/247357","https://minecraft.curseforge.com/projects/2589956/license"
"Extra Bit Manipulation","MolecularPhylo","https://minecraft.curseforge.com/projects/240959","https://minecraft.curseforge.com/projects/2475985/license"
"Extra Utilities","RWTema","https://minecraft.curseforge.com/projects/225561","https://minecraft.curseforge.com/projects/2597220/license"
"Extreme Reactors","ZeroNoRyouki","https://minecraft.curseforge.com/projects/250277","https://minecraft.curseforge.com/projects/2568534/license"
"FTB Utilities","FTB, LatvianModder","https://minecraft.curseforge.com/projects/237102","https://minecraft.curseforge.com/projects/2595514/license"
"FTBLib","FTB, LatvianModder, jaredlll08","https://minecraft.curseforge.com/projects/237167","https://minecraft.curseforge.com/projects/2594077/license"
"Fairy Lights","pau101","https://minecraft.curseforge.com/projects/233342","https://minecraft.curseforge.com/projects/2513426/license"
"Fancy Block Particles","TominoCZ","https://minecraft.curseforge.com/projects/254441","https://minecraft.curseforge.com/projects/2556522/license"
"Farming for Blockheads","BlayTheNinth","https://minecraft.curseforge.com/projects/261924","https://minecraft.curseforge.com/projects/2595463/license"
"FastWorkbench","Shadows_of_Fire","https://minecraft.curseforge.com/projects/288885","https://minecraft.curseforge.com/projects/2579685/license"
"Faster Ladder Climbing","MadDachshund","https://minecraft.curseforge.com/projects/258881","https://minecraft.curseforge.com/projects/2512758/license"
"Flopper","kroeser","https://minecraft.curseforge.com/projects/290404","https://minecraft.curseforge.com/projects/2544079/license"
"FoamFix for Minecraft","asiekierka","https://minecraft.curseforge.com/projects/278494","https://minecraft.curseforge.com/projects/2559212/license"
"Forestry","SirSengir, mezz, CovertJaguar, MysteriousAges","https://minecraft.curseforge.com/projects/59751","https://minecraft.curseforge.com/projects/2595162/license"
"Friendship Bracelet","elytra","https://ci.elytradev.com/job/elytra/job/FriendshipBracelet/job/master","unknown"
"FruitPhone","elytra","https://ci.elytradev.com/job/elytra/job/FruitPhone/job/1.12.2","unknown"
"Fullscreen Windowed (Borderless) for Minecraft","hancin","https://minecraft.curseforge.com/projects/227441","https://minecraft.curseforge.com/projects/2456007/license"
"Gendustry","bdew","https://minecraft.curseforge.com/projects/70492","https://minecraft.curseforge.com/projects/2516215/license"
"GlassHearts","elytra","https://ci.elytradev.com/job/elytra/job/GlassHearts/job/1.12.1","unknown"
"Guide-API","TehNut, Tombenpotter","https://minecraft.curseforge.com/projects/228832","https://minecraft.curseforge.com/projects/2583886/license"
"Hwyla","TehNut","https://minecraft.curseforge.com/projects/253449","https://minecraft.curseforge.com/projects/2568751/license"
"Infra Redstone","elytra","https://ci.elytradev.com/job/elytra/job/InfraRedstone/job/1.12.2","unknown"
"Initial Inventory","jaredlll08","https://minecraft.curseforge.com/projects/253230","https://minecraft.curseforge.com/projects/2465617/license"
"Inventory Tweaks","Kobata","https://minecraft.curseforge.com/projects/223094","https://minecraft.curseforge.com/projects/2514356/license"
"Iron Chests","progwml6, Alexbegt","https://minecraft.curseforge.com/projects/228756","https://minecraft.curseforge.com/projects/2595146/license"
"Item Scroller","masa_","https://minecraft.curseforge.com/projects/242064","https://minecraft.curseforge.com/projects/2581199/license"
"ItemZoom","mezz","https://minecraft.curseforge.com/projects/261725","https://minecraft.curseforge.com/projects/2463740/license"
"IvToolkit","Ivorforce","https://minecraft.curseforge.com/projects/224535","https://minecraft.curseforge.com/projects/2443253/license"
"JEI Bees","bdew","https://minecraft.curseforge.com/projects/248370","https://minecraft.curseforge.com/projects/2490058/license"
"JEI Integration","SnowShock35","https://minecraft.curseforge.com/projects/265917","https://minecraft.curseforge.com/projects/2491927/license"
"JourneyMap","techbrew","https://minecraft.curseforge.com/projects/32274","https://minecraft.curseforge.com/projects/2498312/license"
"Just Enough HarvestCraft (JEHC)","mrAppleXZ","https://minecraft.curseforge.com/projects/267939","https://minecraft.curseforge.com/projects/2587544/license"
"Just Enough Items (JEI)","mezz","https://minecraft.curseforge.com/projects/238222","https://minecraft.curseforge.com/projects/2591543/license"
"Just Enough Resources (JER)","Way2muchnoise","https://minecraft.curseforge.com/projects/240630","https://minecraft.curseforge.com/projects/2581304/license"
"K4Lib","K4Unl","https://minecraft.curseforge.com/projects/224740","https://minecraft.curseforge.com/projects/2516105/license"
"Keyboard Wizard","mrnerdy42","https://minecraft.curseforge.com/projects/262366","https://minecraft.curseforge.com/projects/2493196/license"
"KleeSlabs","BlayTheNinth","https://minecraft.curseforge.com/projects/241895","https://minecraft.curseforge.com/projects/2562131/license"
"LagGoggles","Terminator_NL","https://minecraft.curseforge.com/projects/283525","https://minecraft.curseforge.com/projects/2536205/license"
"LibEx","LogicTechCorp","https://minecraft.curseforge.com/projects/298965","https://minecraft.curseforge.com/projects/2593994/license"
"Light Level Overlay Reloaded","oldjunyi","https://minecraft.curseforge.com/projects/226670","https://minecraft.curseforge.com/projects/2563430/license"
